flight_number,flight_date,origin,destination,tail_number,aircraft_type,gross_weight_cargo_kg,gross_volume_cargo_m3,passenger_count,baggage_weight_kg,fuel_weight_kg,fuel_price_per_kg,cargo_price_per_kg
AB101,2024-01-01,KUL,SIN,TN-ZNB,Boeing 737-800,1245,32,156,2496,4850,0.83,1.45
AB102,2024-01-01,SIN,KUL,TN-ZZB,Boeing 737-800,1320,34,148,2368,4780,0.83,1.52
AB201,2024-01-01,KUL,BKK,TN-ZNA,Airbus A330-300,11850,108,285,5130,18500,0.83,1.85
AB101,2024-01-02,KUL,SIN,TN-ZNB,Boeing 737-800,1180,30,162,2592,4820,0.83,1.42
AB102,2024-01-02,SIN,KUL,TN-ZZB,Boeing 737-800,1290,33,151,2416,4790,0.83,1.48
AB201,2024-01-02,KUL,BKK,TN-ZNA,Airbus A330-300,12100,112,278,5004,18450,0.83,1.88
AB101,2024-01-03,KUL,SIN,TN-ZNB,Boeing 737-800,1210,31,159,2544,4840,0.84,1.44
AB102,2024-01-03,SIN,KUL,TN-ZZB,Boeing 737-800,1350,35,145,2320,4800,0.84,1.5
AB201,2024-01-03,KUL,BKK,TN-ZNA,Airbus A330-300,11920,110,282,5076,18520,0.84,1.82
AB301,2024-01-03,SIN,HKG,TN-ZND,Airbus A330-200,10850,98,245,4410,28500,0.84,3.45
AB501,2024-01-03,BKK,SGN,TN-ZNC,Boeing 737-900ER,1680,42,168,2688,5200,0.84,1.62
AB401,2024-01-04,KUL,PVG,TN-ZFB,Airbus A330-300,13200,125,268,4824,42500,0.84,3.85
AB101,2024-01-04,KUL,SIN,TN-ZNB,Boeing 737-800,1275,33,154,2464,4860,0.84,1.46
AB102,2024-01-04,SIN,KUL,TN-ZZB,Boeing 737-800,1310,34,149,2384,4785,0.84,1.51
AB201,2024-01-04,KUL,BKK,TN-ZNA,Airbus A330-300,12050,111,280,5040,18480,0.84,1.86
AB101,2024-01-05,KUL,SIN,TN-ZNB,Boeing 737-800,1320,34,165,2640,4870,0.84,1.48
AB102,2024-01-05,SIN,KUL,TN-ZZB,Boeing 737-800,1380,36,158,2528,4810,0.84,1.55
AB201,2024-01-05,KUL,BKK,TN-ZNA,Airbus A330-300,12280,114,290,5220,18550,0.84,1.9
AB301,2024-01-05,SIN,HKG,TN-ZND,Airbus A330-200,11200,102,252,4536,28600,0.84,3.52
AB501,2024-01-05,BKK,SGN,TN-ZNC,Boeing 737-900ER,1720,44,172,2752,5180,0.84,1.65
AB401,2024-01-06,KUL,PVG,TN-ZFB,Airbus A330-300,13450,128,272,4896,42600,0.85,3.92
AB101,2024-01-06,KUL,SIN,TN-ZNB,Boeing 737-800,1290,33,168,2688,4880,0.85,1.5
AB102,2024-01-06,SIN,KUL,TN-ZZB,Boeing 737-800,1340,35,160,2560,4820,0.85,1.53
AB201,2024-01-06,KUL,BKK,TN-ZNA,Airbus A330-300,12150,113,288,5184,18530,0.85,1.88
AB101,2024-01-07,KUL,SIN,TN-ZNB,Boeing 737-800,1260,32,170,2720,4890,0.85,1.47
AB102,2024-01-07,SIN,KUL,TN-ZZB,Boeing 737-800,1300,34,162,2592,4830,0.85,1.49
AB201,2024-01-07,KUL,BKK,TN-ZNA,Airbus A330-300,12000,110,286,5148,18510,0.85,1.85
AB301,2024-01-07,SIN,HKG,TN-ZND,Airbus A330-200,11350,104,258,4644,28650,0.85,3.58
AB101,2024-01-08,KUL,SIN,TN-ZNB,Boeing 737-800,1340,35,158,2528,4850,0.85,1.52
AB102,2024-01-08,SIN,KUL,TN-ZZB,Boeing 737-800,1380,36,152,2432,4800,0.85,1.56
AB201,2024-01-08,KUL,BKK,TN-ZNA,Airbus A330-300,12320,115,275,4950,18470,0.85,1.92
AB401,2024-01-09,KUL,PVG,TN-ZFB,Airbus A330-300,13680,130,265,4770,42550,0.85,4.05
AB101,2024-01-09,KUL,SIN,TN-ZNB,Boeing 737-800,1380,36,155,2480,4840,0.85,1.55
AB102,2024-01-09,SIN,KUL,TN-ZZB,Boeing 737-800,1420,37,148,2368,4790,0.85,1.58
AB201,2024-01-09,KUL,BKK,TN-ZNA,Airbus A330-300,12450,116,272,4896,18450,0.85,1.95
AB101,2024-01-10,KUL,SIN,TN-ZNB,Boeing 737-800,1410,37,152,2432,4830,0.86,1.58
AB102,2024-01-10,SIN,KUL,TN-ZZB,Boeing 737-800,1450,38,145,2320,4780,0.86,1.62
AB201,2024-01-10,KUL,BKK,TN-ZNA,Airbus A330-300,12580,118,268,4824,18430,0.86,1.98
AB301,2024-01-10,SIN,HKG,TN-ZND,Airbus A330-200,11580,106,262,4716,28700,0.86,3.65
AB101,2024-01-11,KUL,SIN,TN-ZNB,Boeing 737-800,1450,38,158,2528,4850,0.86,1.6
AB102,2024-01-11,SIN,KUL,TN-ZZB,Boeing 737-800,1480,39,150,2400,4800,0.86,1.65
AB201,2024-01-11,KUL,BKK,TN-ZNA,Airbus A330-300,12720,120,270,4860,18460,0.86,2.02
AB401,2024-01-11,KUL,PVG,TN-ZFB,Airbus A330-300,13920,132,270,4860,42650,0.86,4.15
AB101,2024-01-12,KUL,SIN,TN-ZNB,Boeing 737-800,1480,39,162,2592,4870,0.86,1.62
